numsad_int,numhaha_int,numwow_int,numangry_int,numloves_int,numlikes_int,numshares_int,MIPP,sentiment,log_length,else_leader_org,IDEO,IDEOsq,accountname,issue,party_affil
0,0,0,0,0,9,0,0.13664999961853028,0.030303030303,3.496510591764919,else,6.050000190734863,1.1025004386901855,192,10000,ÖVP
0,0,0,0,0,10,0,0.13664999961853028,0,2.833219226391856,else,6.050000190734863,1.1025004386901855,37,10000,ÖVP
0,0,0,0,0,5,0,0.043299999237060544,0.12,3.178057997005932,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
7,2,0,5,1,156,98,0.043299999237060544,-0.0243902439024,3.526363465788307,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
0,0,0,0,0,31,9,0.13664999961853028,0.130434782609,3.8066647119900727,else,6.050000190734863,1.1025004386901855,123,10000,ÖVP
0,6,0,0,2,204,0,0.13664999961853028,0.2,3.218879824860201,else,6.050000190734863,1.1025004386901855,263,10000,ÖVP
0,0,0,0,0,0,0,0.08649999618530274,0.05,2.995737273541491,else,3.3499999046325684,2.7225003242492676,14,10000,SPÖ
0,0,0,0,0,25,0,0.13664999961853028,0.1,2.3979043636661395,org,6.050000190734863,1.1025004386901855,241,10000,ÖVP
0,0,0,0,1,49,6,0.08649999618530274,0.0769230769231,3.218879824860201,else,3.3499999046325684,2.7225003242492676,166,10000,SPÖ
1,0,0,0,1,39,0,0.043299999237060544,0,3.8501497293673697,leader,2.1500000953674316,8.122499465942383,247,10000,GRÜNE
0,0,1,0,0,22,5,0.13664999961853028,0.130434782609,3.8286435703997754,else,6.050000190734863,1.1025004386901855,133,10000,ÖVP
4,2,3,32,2,354,71,0.06670000076293946,0,3.6375887913018707,else,8.100000381469727,9.610002517700195,252,10000,FPÖ
0,1,1,4,8,323,32,0.13664999961853028,0,2.5649570497396432,org,6.050000190734863,1.1025004386901855,253,10000,ÖVP
0,0,0,0,2,52,3,0.043299999237060544,0.0576923076923,3.9318275935067173,else,2.1500000953674316,8.122499465942383,7,10000,GRÜNE
0,0,0,0,0,34,4,0.13664999961853028,0.115942028986,4.234107953871572,else,6.050000190734863,1.1025004386901855,33,10000,ÖVP
0,0,0,0,2,37,1,0.21504999160766602,-0.0434782608696,3.258100384167932,else,4.550000190734863,0.20249982178211212,17,10000,NEOS
0,0,0,0,0,23,0,0.13664999961853028,0.0909090909091,2.6390644724468912,org,6.050000190734863,1.1025004386901855,186,10000,ÖVP
0,0,0,0,0,2,0,0.13664999961853028,-0.176470588235,2.890377313436288,org,6.050000190734863,1.1025004386901855,122,10000,ÖVP
0,0,1,0,0,205,23,0.13664999961853028,0.05,4.941643136894763,else,6.050000190734863,1.1025004386901855,214,10000,ÖVP
0,0,0,0,0,22,0,0.043299999237060544,0.12,3.258100384167932,else,2.1500000953674316,8.122499465942383,100,10000,GRÜNE
0,0,0,0,0,20,0,0.08649999618530274,0.111111111111,3.295840569701174,else,3.3499999046325684,2.7225003242492676,41,10000,SPÖ
0,0,0,0,0,7,0,0.21504999160766602,0,3.5553509186281893,org,4.550000190734863,0.20249982178211212,181,10000,NEOS
0,0,0,0,0,22,5,0.21504999160766602,0.0119047619048,4.127135997947017,org,4.550000190734863,0.20249982178211212,178,10000,NEOS
1,0,0,0,0,41,9,0.08649999618530274,0.1,2.3979043636661395,else,3.3499999046325684,2.7225003242492676,166,10000,SPÖ
0,0,3,1,2,174,3,0.06670000076293946,0.25,3.178057997005932,else,8.100000381469727,9.610002517700195,112,10000,FPÖ
0,0,0,0,0,16,0,0.13664999961853028,0.05,2.944444242310485,else,6.050000190734863,1.1025004386901855,157,10000,ÖVP
1,0,0,0,0,120,34,0.08649999618530274,0.2,2.6390644724468912,org,3.3499999046325684,2.7225003242492676,221,10000,SPÖ
0,0,0,0,0,8,1,0.08649999618530274,0,1.609457912234103,else,3.3499999046325684,2.7225003242492676,146,10000,SPÖ
0,0,0,0,0,18,1,0.13664999961853028,0.161290322581,3.7841919066429512,org,6.050000190734863,1.1025004386901855,122,10000,ÖVP
0,0,0,0,4,324,55,0.08649999618530274,0.0588235294118,4.248496670619767,else,3.3499999046325684,2.7225003242492676,53,10000,SPÖ
0,0,0,0,2,107,3,0.13664999961853028,0.0238095238095,3.5835217162300297,else,6.050000190734863,1.1025004386901855,193,10000,ÖVP
0,2,1,3,7,175,39,0.043299999237060544,0.08,3.258100384167932,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
1,0,0,2,0,12,6,0.043299999237060544,-0.0416666666667,3.178057997005932,else,2.1500000953674316,8.122499465942383,105,10000,GRÜNE
0,0,0,0,0,2,0,0.13664999961853028,0,3.258100384167932,else,6.050000190734863,1.1025004386901855,265,10000,ÖVP
0,0,1,0,0,37,1,0.13664999961853028,0.0645161290323,4.234107953871572,else,6.050000190734863,1.1025004386901855,193,10000,ÖVP
0,0,0,0,0,22,2,0.13664999961853028,0.0909090909091,4.007335003412637,else,6.050000190734863,1.1025004386901855,193,10000,ÖVP
3,1,7,17,5,348,46,0.043299999237060544,0.0105263157895,4.094346228887378,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
0,0,0,0,0,20,0,0.043299999237060544,0.047619047619,3.332208081597398,org,2.1500000953674316,8.122499465942383,92,10000,GRÜNE
1,0,0,1,0,16,3,0.08649999618530274,0.0540540540541,3.5835217162300297,org,3.3499999046325684,2.7225003242492676,223,10000,SPÖ
0,0,0,0,0,5,0,0.13664999961853028,0.0265151515152,5.556828447799849,org,6.050000190734863,1.1025004386901855,254,10000,ÖVP
6,2,22,29,0,144,0,0.21504999160766602,0,3.4012007149899333,org,4.550000190734863,0.20249982178211212,181,10000,NEOS
0,0,5,9,1,95,21,0.06670000076293946,0.05,2.995737273541491,else,8.100000381469727,9.610002517700195,233,10000,FPÖ
0,0,0,0,0,101,8,0.21504999160766602,0.03125,4.189656257176793,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,5,0,2,0,118,6,0.21504999160766602,0.0227272727273,3.761202441272254,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
15,2,21,52,0,699,183,0.21504999160766602,0.0258620689655,4.770685471922933,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
10,0,0,22,1,42,12,0.08649999618530274,0.0757575757576,4.204694111927166,else,3.3499999046325684,2.7225003242492676,246,10000,SPÖ
0,0,0,0,12,124,15,0.08649999618530274,0.128571428571,4.330734656074939,org,3.3499999046325684,2.7225003242492676,231,10000,SPÖ
0,2,0,1,1,55,11,0.21504999160766602,0.107843137255,4.605171185987591,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,55,1,0.21504999160766602,0.0363636363636,3.9889858984144118,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,2,0,0,2,91,10,0.043299999237060544,0,3.737671999232915,org,2.1500000953674316,8.122499465942383,48,10000,GRÜNE
11,2,26,45,1,82,43,0.06670000076293946,-0.166666666667,2.4849149830866115,else,8.100000381469727,9.610002517700195,233,10000,FPÖ
0,0,0,0,1,22,2,0.13664999961853028,-0.05,2.944444242310485,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,0,0,0,0,10,1,0.043299999237060544,0.25,2.0794540416017115,else,2.1500000953674316,8.122499465942383,128,10000,GRÜNE
0,0,0,1,0,34,1,0.21504999160766602,-0.1,3.465739027794844,else,4.550000190734863,0.20249982178211212,84,10000,NEOS
0,2,0,0,8,88,39,0.043299999237060544,0.0645161290323,3.433990430286395,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
0,22,0,0,0,134,9,0.21504999160766602,0,2.0794540416017115,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,47,5,0.13664999961853028,0.05,3.135498563745785,org,6.050000190734863,1.1025004386901855,256,10000,ÖVP
0,0,0,0,0,43,6,0.13664999961853028,0.0369318181818,5.888878235341153,else,6.050000190734863,1.1025004386901855,33,10000,ÖVP
0,0,0,0,0,13,0,0.043299999237060544,0,2.6390644724468912,org,2.1500000953674316,8.122499465942383,91,10000,GRÜNE
1,6,2,19,27,742,104,0.21504999160766602,0.0689655172414,4.060444734682864,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,5,0,0.21504999160766602,-0.0173913043478,4.770685471922933,org,4.550000190734863,0.20249982178211212,182,10000,NEOS
0,21,7,0,57,1890,217,0.08649999618530274,0.093023255814,3.7841919066429512,leader,3.3499999046325684,2.7225003242492676,29,10000,SPÖ
3,8,0,17,72,1537,285,0.08649999618530274,0,3.433990430286395,leader,3.3499999046325684,2.7225003242492676,29,10000,SPÖ
0,0,0,0,0,10,0,0.13664999961853028,0.145454545455,3.9702938003427946,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,0,0,0,0,44,4,0.21504999160766602,0.0544747081712,5.521461317862166,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,1,0,1,12,0,0.043299999237060544,0.212121212121,3.5553509186281893,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,4,55,11,0.08649999618530274,0.130434782609,3.135498563745785,org,3.3499999046325684,2.7225003242492676,232,10000,SPÖ
0,0,1,0,3,122,11,0.21504999160766602,0.0454545454545,3.044527199616847,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
15,97,9,332,0,537,250,0.06670000076293946,-0.027027027027,3.367299278256391,else,8.100000381469727,9.610002517700195,252,10000,FPÖ
0,0,0,0,3,72,8,0.21504999160766602,0.0869565217391,3.8712030942390543,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,1,17,0,0.21504999160766602,0,2.0794540416017115,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,4,0,10,139,0,0.08649999618530274,-0.0526315789474,2.944444242310485,org,3.3499999046325684,2.7225003242492676,229,10000,SPÖ
0,0,0,0,0,7,0,0.13664999961853028,0,4.7095311022128294,else,6.050000190734863,1.1025004386901855,39,10000,ÖVP
0,0,0,0,0,21,2,0.21504999160766602,0.051724137931,4.718499764151839,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,2,53,16,0.08649999618530274,0.0166666666667,3.9889858984144118,org,3.3499999046325684,2.7225003242492676,232,10000,SPÖ
2,1,1,1,0,48,7,0.21504999160766602,-0.0566037735849,5.003946977086174,org,4.550000190734863,0.20249982178211212,179,10000,NEOS
0,5,0,0,4,191,4,0.21504999160766602,0.176470588235,2.995737273541491,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
6,0,8,0,1,49,0,0.13664999961853028,0,3.6375887913018707,else,6.050000190734863,1.1025004386901855,25,10000,ÖVP
0,0,0,0,0,6,0,0.043299999237060544,0.0625,2.833219226391856,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,0,42,0,0.06670000076293946,0.0967741935484,3.465739027794844,else,8.100000381469727,9.610002517700195,154,10000,FPÖ
0,1,0,0,0,5,1,0.043299999237060544,0.0535714285714,4.060444734682864,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,0,19,6,0.21504999160766602,0.00454545454545,5.308268192450587,org,4.550000190734863,0.20249982178211212,176,10000,NEOS
3,0,0,0,0,48,3,0.21504999160766602,0.0677966101695,4.077539138819537,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,1,0,1,75,5,0.08649999618530274,0.010989010989,4.45434845904353,org,3.3499999046325684,2.7225003242492676,219,10000,SPÖ
0,0,0,0,0,55,6,0.21504999160766602,0.0361445783133,4.430817989318795,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,30,1,0.08649999618530274,0.0740740740741,3.044527199616847,else,3.3499999046325684,2.7225003242492676,113,10000,SPÖ
0,0,0,0,0,1,0,0.043299999237060544,0,1.945924434667559,org,2.1500000953674316,8.122499465942383,87,10000,GRÜNE
0,0,0,0,0,51,2,0.06670000076293946,0.125,2.7080568677466546,org,8.100000381469727,9.610002517700195,72,10000,FPÖ
0,0,0,0,0,46,1,0.21504999160766602,0.0980392156863,4.644391860679372,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,2,0,0,2,202,11,0.21504999160766602,0.0240963855422,4.406720466775704,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,7,1,0.13664999961853028,0.117647058824,2.833219226391856,else,6.050000190734863,1.1025004386901855,109,10000,ÖVP
0,0,0,0,0,7,0,0.13664999961853028,-0.142857142857,1.7917761357558344,org,6.050000190734863,1.1025004386901855,264,10000,ÖVP
0,0,0,0,0,16,2,0.13664999961853028,0.05,2.995737273541491,org,6.050000190734863,1.1025004386901855,256,10000,ÖVP
0,0,0,0,2,51,7,0.08649999618530274,-0.0277777777778,3.4012007149899333,org,3.3499999046325684,2.7225003242492676,225,10000,SPÖ
0,0,0,0,0,29,0,0.06670000076293946,-0.0425531914894,3.5553509186281893,else,8.100000381469727,9.610002517700195,171,10000,FPÖ
0,0,0,0,0,23,0,0.08649999618530274,0.0823529411765,5.147495058208633,else,3.3499999046325684,2.7225003242492676,248,10000,SPÖ
0,0,1,1,0,117,30,0.06670000076293946,0.0909090909091,9.999500033329732e-5,else,8.100000381469727,9.610002517700195,170,10000,FPÖ
0,0,1,0,0,19,5,0.08649999618530274,0,4.204694111927166,else,3.3499999046325684,2.7225003242492676,130,10000,SPÖ
0,0,0,0,0,26,1,0.043299999237060544,-0.0434782608696,3.8918223389248707,org,2.1500000953674316,8.122499465942383,49,10000,GRÜNE
0,0,0,3,2,38,2,0.13664999961853028,0.125,2.0794540416017115,org,6.050000190734863,1.1025004386901855,264,10000,ÖVP
0,2,1,0,4,66,14,0.13664999961853028,0,5.347108006907831,else,6.050000190734863,1.1025004386901855,40,10000,ÖVP
2,0,0,6,1,73,3,0.21504999160766602,-0.047619047619,4.094346228887378,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
24,0,0,1,8,88,20,0.043299999237060544,0.0462962962963,4.672829769040908,leader,2.1500000953674316,8.122499465942383,247,10000,GRÜNE
